Ticker,Enterprise Value,Enterprise Value/EBITDA,Enterprise Value/Revenue,Forward P/E,Market Cap (intraday),PEG Ratio (5 yr expected),Price/Book (mrq),Price/Sales (ttm),Trailing P/E,% Held by Insiders,% Held by Institutions,200-Day Moving Average,5 Year Average Dividend Yield %,50-Day Moving Average,52 Week High,52 Week Low,52-Week Change %,Avg Vol (10 day),Avg Vol (3 month),Beta (5Y Monthly),Book Value Per Share (mrq),Current Ratio (mrq),Diluted EPS (ttm),EBITDA,Ex-Dividend Date,Fiscal Year Ends,Float 8,Forward Annual Dividend Rate,Forward Annual Dividend Yield %,Gross Profit (ttm),Implied Shares Outstanding 6,Last Split Date,Last Split Factor,Levered Free Cash Flow (ttm),Most Recent Quarter (mrq),Net Income Avi to Common (ttm),Operating Cash Flow (ttm),Operating Margin (ttm) %,Payout Ratio %,Profit Margin %,Quarterly Earnings Growth (yoy) %,Quarterly Revenue Growth (yoy) %,Return on Assets (ttm) %,Return on Equity (ttm) %,Revenue (ttm),Revenue Per Share (ttm),S&P500 52-Week Change %,Shares Outstanding,Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Trailing Annual Dividend Rate,Trailing Annual Dividend Yield %
BBVA.MC,,,,7.68,36.91B,0.44,0.82,1.57,10.35,0.0002,0.3429,5.44,0.048600000000000004,5.34,6.29,4.22,26.67%,28.1M,23.5M,1.97,6.6,,0.67,,"Oct 08, 2021","Dec 31, 2021",6.63B,0.14,0.024399999999999998,18.03B,,,,,"Dec 31, 2021",4.37B,,0.457,0.1073,0.258,1.60%,4.7,0.0076,0.1081,18.03B,2.6,14.94%,6.03B,191.29B,28.53,55.76B,,0.31,5.45
BMW.DE,129.87B,5.86,1.16,6.23,60.94B,0.25,0.86,0.55,5.24,0.46740000000000004,0.2158,87.41,0.042800000000000005,91.83,100.42,68.87,28.43%,1.4M,1.21M,1.19,108.59,1.13,17.9,16.23B,"May 14, 2021","Dec 31, 2020",432.73M,1.9,0.0212,12.21B,659.68M,,,2.59B,"Sep 30, 2021",11.81B,16.95B,0.1085,0.1061,0.1051,43.60%,4.5,0.0342,0.17920000000000003,112.31B,170.25,14.94%,602M,14.33B,21.72,104.5B,144.44,1.9,2.12
BN.PA,46.02B,12.87,1.98,16.89,35.16B,4.8,2.12,1.54,17.95,0.0265,0.5572,58.08,,55.0,65.3,51.42,2.95%,1.71M,1.55M,0.66,25.5,1.1,3.07,4.59B,"May 10, 2021","Dec 31, 2020",641.85M,1.94,0.0354,11.35B,,"Jun 01, 2007",2:1,627M,"Jun 30, 2021",1.99B,3.04B,0.1365,1.3159999999999998,0.0864,5.20%,-2.9,0.043,0.12560000000000002,23.27B,35.8,14.94%,638.09M,6.29B,9.66,17.66B,105.75,1.94,3.54
BNP.PA,,,,9.51,78.49B,1.01,0.68,1.41,9.54,0.132,0.5126,56.49,,60.92,67.15,43.5,45.74%,4.21M,3.24M,1.97,93.23,,6.68,,"Sep 28, 2021","Dec 31, 2020",1.09B,2.66,0.0414,39.59B,,"Feb 20, 2002",2:1,,"Sep 30, 2021",8.33B,,0.2849,0.3986,0.2032,32.20%,11.9,0.0034000000000000002,0.0771,43.18B,34.61,14.94%,1.23B,1.21T,969.91,520.91B,,1.11,1.73
CRG.IR,40.73B,9.4,1.38,14.47,35.29B,1.22,2.05,1.39,27.12,0.0002,0.5482,43.26,0.023799999999999998,45.33,48.18,35.12,24.42%,2.43M,1.76M,0.93,24.7,1.88,1.66,4.33B,"Sep 09, 2021","Dec 31, 2020",784.13M,0.97,0.0219,9.42B,,,,3.07B,"Jun 30, 2021",1.5B,4.5B,0.0983,0.6043,0.051100000000000007,94.80%,15.0,0.0391,0.08070000000000001,29.42B,37.49,14.94%,768.51M,6.29B,8.02,12.47B,62.14,1.16,2.61
DAI.DE,177.90B,7.27,1.06,7.17,75.06B,0.46,1.02,0.45,6.49,0.18350000000000002,0.35409999999999997,75.64,0.05,71.21,91.63,64.12,5.66%,2.22M,3.19M,1.47,68.87,1.3,12.94,20.02B,"Apr 01, 2021","Dec 31, 2020",753.65M,1.35,0.0192,25.43B,,,,-11.71B,"Sep 30, 2021",11.54B,25.54B,0.0922,0.1249,0.0825,20.50%,0.1,0.0333,0.1783,167.87B,156.91,14.94%,1.07B,21.22B,19.84,130.71B,173.66,1.35,1.92
DB1.DE,-57.81B,-28.94,-13.83,21.51,28.33B,2.99,3.9,6.78,24.46,0.0,0.603,144.73,0.0217,147.7,163.35,130.1,15.09%,548.34k,457.36k,0.59,36.92,1.01,6.31,1.94B,"May 20, 2021","Dec 31, 2020",183.49M,3.0,0.0192,3.17B,,"Jun 01, 2001",10:1,,"Sep 30, 2021",1.16B,,0.41960000000000003,0.4754,0.27690000000000003,32.20%,31.8,0.0059,0.1769,4.18B,22.78,14.94%,183.52M,20.88B,113.79,4.79B,65.89,3.0,1.92
DG.PA,76.03B,10.94,1.58,15.58,55.29B,0.59,2.59,1.16,24.89,0.0894,0.38439999999999996,91.68,0.0274,92.04,100.82,82.94,13.04%,1.43M,1.28M,1.06,40.31,0.8,4.51,7.02B,"Apr 26, 2022","Dec 31, 2021",514.3M,2.9,0.029500000000000002,4.72B,,"May 17, 2007",2:1,3.78B,"Dec 31, 2021",2.6B,7.81B,0.08869999999999999,0.5204,0.052000000000000005,24.70%,7.0,0.0345,0.0919,49.98B,86.8,14.94%,566.68M,9.3B,16.38,30.66B,123.77,2.9,2.95
DPW.DE,78.83B,6.88,1.02,13.72,66.28B,1.19,3.83,0.87,13.86,0.20489999999999997,0.3503,55.65,,53.96,61.38,40.68,23.65%,2.78M,2.32M,1.05,14.09,1.05,3.85,8.96B,"May 07, 2021","Dec 31, 2020",972.66M,1.35,0.0252,11.25B,,,,4.79B,"Sep 30, 2021",4.87B,10.3B,0.0941,0.3497,0.0626,27.70%,23.5,0.0809,0.33390000000000003,77.82B,62.95,14.94%,1.24B,5.91B,4.81,19.42B,110.06,1.35,2.59
DTE.DE,217.74B,5.03,2.03,13.5,86.32B,1.29,2.1,0.77,15.18,0.18359999999999999,0.4305,17.07,,16.17,18.92,14.6,13.29%,13.05M,10.38M,0.69,8.56,0.99,1.13,35.19B,"Apr 08, 2022","Dec 31, 2020",4.1B,0.64,0.037599999999999995,41.43B,,,,2.74B,"Sep 30, 2021",5.38B,32.92B,0.1393,0.5263,0.0487,8.80%,1.9,0.035699999999999996,0.1059,110.35B,23.18,14.94%,4.99B,6.34B,1.32,141.73B,179.72,0.6,3.52
